symbol,sigma (%),date,ret_itd (%),px dd10,trig dd10,px dd15,trig dd15,px dd20,trig dd20,px z1.5,trig z1.5,px z2.0,trig z2.0,px z2.5,trig z2.5,open,low,close,volume
CZR,2.4,2026-05-12,-10.47,25.54,True,24.12,,22.7,,22.61,,21.43,,20.31,,27.7,25.2,25.41,6562100
FMC,2.54,2026-05-05,0.34,13.34,,12.6,,11.86,,14.87,True,14.05,,13.28,,14.78,14.5,14.87,1961700
FMC,2.54,2026-05-07,-7.69,13.34,,12.6,,11.86,,14.51,True,13.71,True,12.95,,14.7,13.64,13.68,3443700
FMC,2.54,2026-05-11,-11.54,13.34,True,12.6,,11.86,,15.24,True,14.39,True,13.6,True,13.59,12.97,13.11,3345908
FMC,2.54,2026-05-19,-13.9,13.34,True,12.6,,11.86,,13.38,True,12.64,,11.94,,13.5,12.69,12.76,3456600
FMC,2.54,2026-05-20,-14.37,13.34,True,12.6,True,11.86,,12.39,True,11.7,,11.06,,12.58,12.22,12.69,2727500
FMC,2.54,2026-05-21,-12.21,13.34,True,12.6,True,11.86,,12.18,,11.51,,10.88,,12.5,12.37,13.01,2256900
FMC,2.54,2026-05-22,-11.54,13.34,True,12.6,,11.86,,12.55,,11.85,,11.2,,13.0,12.86,13.11,2174216
FMC,2.54,2026-06-05,-21.46,13.34,True,12.6,True,11.86,True,11.54,True,10.9,,10.3,,12.17,11.41,11.64,3667101
FMC,2.54,2026-06-16,-21.73,13.34,True,12.6,True,11.86,True,11.43,,10.79,,10.2,,11.48,11.48,11.6,3083847
JELD,4.11,2026-05-05,13.1,1.3,True,1.23,,1.16,,0.72,,0.66,,0.6,,1.4,1.25,1.64,3986200
JELD,4.11,2026-06-26,-0.69,1.3,,1.23,,1.16,,1.6,True,1.46,True,1.33,,1.64,1.37,1.44,10579245
JELD,4.11,2026-06-29,-4.83,1.3,,1.23,,1.16,,1.64,True,1.5,True,1.36,True,1.42,1.32,1.38,2712065
JELD,4.11,2026-07-01,2.76,1.3,,1.23,,1.16,,1.54,True,1.41,,1.28,,1.51,1.47,1.49,1962789
JELD,4.11,2026-07-06,-12.41,1.3,True,1.23,,1.16,,1.53,True,1.4,True,1.28,True,1.45,1.25,1.27,2101600
JELD,4.11,2026-07-07,-13.79,1.3,True,1.23,True,1.16,True,1.41,True,1.29,True,1.18,True,1.27,1.15,1.25,2257141
JELD,4.11,2026-07-08,-16.55,1.3,True,1.23,True,1.16,,1.25,True,1.14,,1.04,,1.23,1.17,1.21,1557500
JELD,4.11,2026-07-09,-14.48,1.3,True,1.23,True,1.16,,1.33,True,1.21,True,1.11,,1.23,1.21,1.24,918503
JELD,4.11,2026-07-16,-17.93,1.3,True,1.23,True,1.16,True,1.38,True,1.26,True,1.15,,1.15,1.15,1.19,543800
LE,2.93,2026-05-19,-8.6,10.26,True,9.69,,9.12,,10.18,,9.53,,8.93,,10.67,10.21,10.42,326600
LE,2.93,2026-06-30,-8.07,10.26,True,9.69,True,9.12,,9.63,True,9.02,,8.45,,10.82,9.56,10.48,581000
LUMN,3.77,2026-05-06,5.26,8.39,True,7.92,,7.46,,5.51,,5.06,,4.65,,8.85,8.38,9.81,28531300
LUMN,3.77,2026-06-23,-15.88,8.39,True,7.92,True,7.46,,7.31,,6.72,,6.18,,7.84,7.82,7.84,14462200
LUMN,3.77,2026-06-24,-13.52,8.39,True,7.92,True,7.46,,7.9,True,7.26,,6.67,,7.77,7.59,8.06,16763245
LUMN,3.77,2026-06-25,-10.73,8.39,True,7.92,,7.46,,8.44,True,7.76,,7.13,,8.1,8.1,8.32,13300991
LUMN,3.77,2026-06-29,-14.59,8.39,True,7.92,True,7.46,,8.54,True,7.85,True,7.21,,8.07,7.72,7.96,14668215
LUMN,3.77,2026-07-01,-23.28,8.39,True,7.92,True,7.46,True,8.2,True,7.54,True,6.93,,7.55,7.13,7.15,13703716
LUMN,3.77,2026-07-02,-31.01,8.39,True,7.92,True,7.46,True,7.75,True,7.12,True,6.55,True,7.2,6.37,6.43,22002042
LUMN,3.77,2026-07-09,-27.58,8.39,True,7.92,True,7.46,True,6.58,True,6.05,,5.56,,6.68,6.56,6.75,7918700
LUMN,3.77,2026-07-10,-27.79,8.39,True,7.92,True,7.46,True,6.42,,5.9,,5.42,,6.72,6.66,6.73,6357800
