Category,Metric,DIS,FOX,GTN,NXST,SBGI,SSP,TGNA
Header,Fiscal Period,2026-Q2,2026-Q3,2026-Q1,2026-Q1,2026-Q1,2026-Q1,2025-Q4
Header,Statement Date,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2025-12-31
Header,Filing Date,2026-05-06,2026-05-11,2026-05-07,2026-05-08,2026-05-06,2026-05-08,2026-03-02
Revenue & Margin,Segment-1,Admission,Television Segment,Advertising,Distribution Service,Local Media Segment,Core Advertising Revenue,Subscription
Revenue & Margin,Segment-1 %,20.7%,57.4%,32.6%,59.1%,94.4%,62.0%,46.9%
Revenue & Margin,Segment-2,Advertising,Cable Network Programming Segment,Core Advertising,Advertising,Other Operating Segment,Distribution Revenue,Advertising And Marketing Services
Revenue & Margin,Segment-2 %,19.6%,42.6%,31.6%,39.6%,5.6%,35.3%,39.5%
Revenue & Margin,Segment-3,"Retail and wholesale sales of merchandise, food and beverage",-,Retransmission Consent,Other,Other Segments,Other Revenue,Political
Revenue & Margin,Segment-3 %,17.0%,-,31.1%,1.3%,10.5%,1.7%,12.0%
Revenue & Margin,Others,"Resort and vacations, Other Revenue, License, TV/SVOD distribution licensing, Theatrical distribution licensing",-,"Production Companies, Service, Other, Political Advertising",-,Corporate and Other,Political Advertising Revenue,Other Revenue Source
Revenue & Margin,Others %,42.7%,-,4.7%,-,10.5%,1.0%,1.5%
Revenue & Margin,Revenue Total ($k),"97,263,000","16,201,000","3,081,000","5,112,000","3,200,000","2,143,060","2,711,998"
Revenue & Margin,Rev-CoGS / Rev,37.16%,34.99%,94.97%,45.25%,42.50%,32.14%,36.18%
Revenue & Margin,Rev-CoGS-SG&A / Rev,19.90%,20.67%,94.16%,30.77%,16.72%,12.21%,22.18%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,15.50%,19.73%,12.37%,17.78%,6.03%,7.45%,16.33%
Revenue & Margin,Net Income / Rev,11.54%,10.56%,-3.12%,3.23%,2.00%,-4.63%,8.07%
EBITDA,Net Income ($k),"11,224,000","1,711,000","-96,000","165,000","64,000","-99,212","218,944"
EBITDA,D & A ($k),"5,447,000","401,000","266,000","773,000","360,000","147,719","96,993"
EBITDA,Net Interest Expense ($k),"1,418,000","234,000","239,000","402,000","336,000","277,360","145,035"
EBITDA,Tax Provision ($k),"199,000","566,000","-21,000","19,000","-166,000","-8,281","69,325"
EBITDA,EBITDA ($k),"18,288,000","2,912,000","388,000","1,359,000","594,000","317,586","530,297"
EBITDA,Stock-Based Comp ($k),"1,453,000","96,000","23,000","40,000","29,000","19,323","26,178"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,92.42,53.10,4.34,180.83,12.94,3.72,19.41
Capital Structure,O/S Shares,"1,766,000,000","424,000,000","97,000,000","30,371,000","70,565,000","89,767,000","161,416,000"
Capital Structure,Market Capitalization ($k),"163,213,720","22,514,400","420,980","5,491,988","913,111","333,933","3,133,085"
Capital Structure,Cash ($k),"5,682,000","3,601,000","259,000","379,000","844,000","95,031","-291,240"
Capital Structure,Debt ($k),"47,358,000","6,605,000","5,813,000","12,256,000","4,514,000","2,681,136","2,601,307"
Capital Structure,Enterprise Value ($k),"204,889,720","25,518,400","5,974,980","17,368,988","4,583,111","2,920,038","6,025,632"
Capital Structure,netCommonStockIssuance ($k),"-3,466,000","-100,000",0,0,0,0,"-25,327"
Capital Structure,netDebtIssuance ($k),"807,000",0,"-2,000","3,270,000","-9,000","-49,398","-550,000"
Liquidity & Cash Flow,DSO,52.6,66.4,24.3,85.1,73.4,94.2,81.6
Liquidity & Cash Flow,DIO,12.6,21.0,21.2,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,113.6,52.8,220.2,20.3,57.0,17.0,18.5
Liquidity & Cash Flow,CCC,-48.3,34.6,-174.6,64.8,16.4,77.2,63.1
Liquidity & Cash Flow,OCF ($k),"15,792,000","2,616,000","158,000","843,000","227,000","59,915","325,995"
Liquidity & Cash Flow,CapEx ($k),"-8,682,000","-254,000","-112,000","-135,000","-71,000","-44,678","-43,430"
Liquidity & Cash Flow,FCF ($k),"7,110,000","2,362,000","46,000","708,000","154,000","15,237","282,565"
BQR-Mid-Mkt,Total Debt / Equity,0.4x,0.6x,2.1x,5.7x,9.7x,2.2x,0.8x
BQR,Total Debt / Adj Ebitda,2.6x,2.3x,15.0x,9.0x,7.6x,8.4x,4.9x
BQR,Adj Ebitda / Interest Expense,12.9x,12.4x,1.6x,3.4x,1.8x,1.1x,3.7x
BQR,Net Income before extraordinary ($k),"11,224,000","1,711,000","-96,000","165,000","64,000","-99,212","218,944"
BQR,(NCO-CAPEX) / Total Debt,15.01%,35.76%,0.79%,5.78%,3.41%,0.57%,10.86%
BQR,Score: Operating Leverage,45,42,75,75,75,75,58
BQR,Score: ICR,35,35,65,58,65,75,58
BQR,Score: Net Income,15,25,75,42,45,75,35
BQR,Score: FCF/Debt,52,35,75,65,75,75,58
BQR,BQR,37.8,35.0,73.5,61.7,66.0,75.0,52.2
